,Address,Style,Building Type,Basement Development,Exterior Finish,Fireplace,OwnershipType,Property Type,Bedrooms,Bathrooms,Amenities Nearby,Lot Size,Parking Type,No. of Parking Spaces,Storeys,Floor Area (m^2),Features,Condo Fees,Community Features,Price
0,"#2506 -183 WELLINGTON ST W, Toronto, Ontario, M5V 0A1",Apartment,Apartment,,Concrete,,Condominium/Strata,Single Family,2,3.0,"Hospital, Park, Public Transit",,"Underground, Visitor parking",,1.0,160.98000000000005,,"$2,565 Monthly",,"$2,890,000"
1,"#PH 1027 -55 STEWART ST, Toronto, Ontario, M5V 2V1",Apartment,Apartment,,Brick,,Condominium/Strata,Single Family,2+1,3.0,,,Underground,,2.0,154.07000000000005,,"$2,254 Monthly",,"$2,680,000"
2,"#3703 -2045 LAKE SHORE BLVD W, Toronto, Ontario, M8V 2Z6",Apartment,Apartment,,Concrete,,Condominium/Strata,Single Family,3,4.0,"Marina, Park, Public Transit",,Underground,,1.0,3292.01,Balcony,"$3,123 Monthly",,"$2,298,000"
3,"#1003 -410 QUEENS QUAY W, Toronto, Ontario, M5V 3T1",Apartment,Apartment,,Concrete,,Condominium/Strata,Single Family,3,2.0,"Marina, Park, Public Transit",,"Underground, Visitor parking",,1.0,84.78999999999998,,"$1,201 Monthly",Community Centre,"$1,399,900"
4,"#4901 -2191 YONGE ST, Toronto, Ontario, M4S 3H8",Apartment,Apartment,,Concrete,,Condominium/Strata,Single Family,2+1,3.0,"Park, Public Transit, Schools",,Underground,,5.0,83.45,,$996 Monthly,,"$1,399,900"
5,"#1801 -210 VICTORIA  ST, Toronto, Ontario, M5B 2R3",Apartment,Apartment,,Concrete,,Shares in Co-operative,Single Family,2,3.0,"Hospital, Park, Public Transit",,Underground,,1.0,63.88999999999999,,"$1,176 Monthly",,"$1,399,000"
6,"#5507 -1 BLOOR ST E, Toronto, Ontario, M4W 1A9",Apartment,Apartment,,Concrete,,Condominium/Strata,Single Family,2+1,2.0,"Hospital, Park, Public Transit",,Underground,,1.0,,Balcony,$780 Monthly,,"$1,299,999"
7,"#713 -89 SKYMARK DR, Toronto, Ontario, M2H 3S6",Apartment,Apartment,,Brick,,Condominium/Strata,Single Family,2+2,3.0,"Park, Public Transit",,"Underground, Visitor parking",,1.0,117.64,"Conservation/green belt, Balcony","$1,112 Monthly",Community Centre,"$1,250,000"
8,"#TH2 -365 CHURCH ST, Toronto, Ontario, M4K 3V8",Townhouse,Row / Townhouse,,Brick,,Condominium/Strata,Single Family,2,3.0,,,Underground,,2.0,,Balcony,$657 Monthly,,"$1,249,990"
9,"#201 -70 ELMSTHORPE AVE, Toronto, Ontario, M5P 2L7",Apartment,Apartment,,Brick,,Condominium/Strata,Single Family,2,2.0,"Park, Public Transit, Schools",,"Underground, Visitor parking",,1.0,86.98,Balcony,"$1,193 Monthly",Community Centre,"$1,199,000"
10,"#330 -1 OLD MILL DR, Toronto, Ontario, M6S 0A1",Apartment,Apartment,,Concrete,,Condominium/Strata,Single Family,2,2.0,"Park, Public Transit, Schools",,Underground,,1.0,,,$747 Monthly,Community Centre,"$1,190,000"
11,"#1806E -576 FRONT ST W, Toronto, Ontario, M5V 1C1",Apartment,Apartment,,Concrete,,Condominium/Strata,Single Family,3,2.0,"Park, Public Transit",,"Underground, Visitor parking",,1.0,,Balcony,$695 Monthly,"Community Centre, Pets not Allowed","$1,099,999"
12,"#3A -1657 BATHURST ST, Toronto, Ontario, M5P 3J8",Apartment,Apartment,,Brick,,Condominium/Strata,Single Family,3,2.0,"Public Transit, Schools",,,,1.0,,Balcony,$628 Monthly,,"$1,099,999"
13,"#905 -90 QUEENS WHARF RD, Toronto, Ontario, M5V 0J4",Apartment,Apartment,,Brick,,Condominium/Strata,Single Family,2+1,2.0,,,Underground,,1.0,,Balcony,$765 Monthly,,"$1,099,000"
14,"#N115 -120 BAYVIEW  AVE, Toronto, Ontario, M5A 3R7",Townhouse,Row / Townhouse,,Concrete,,Condominium/Strata,Single Family,2+1,3.0,"Hospital, Park, Public Transit",,"Underground, Visitor parking",,2.0,79.39999999999998,,$949 Monthly,Community Centre,"$1,099,000"
15,"#417 -70 DISTILLERY LANE, Toronto, Ontario, M5A 0E3",Apartment,Apartment,,Brick,,Condominium/Strata,Single Family,2,2.0,,,Underground,,1.0,135.24,Balcony,$929 Monthly,,"$1,099,000"
16,"#2705 -57 ST. JOSEPH ST, Toronto, Ontario, M5V 2B4",Apartment,Apartment,,Concrete,,Condominium/Strata,Single Family,2,2.0,"Hospital, Park, Public Transit, Schools",,Underground,,1.0,,Balcony,$522 Monthly,,"$1,089,000"
17,"#1905 -832 BAY ST, Toronto, Ontario, M5S 1Z6",Apartment,Apartment,,Concrete,,Condominium/Strata,Single Family,2+1,2.0,"Hospital, Park, Public Transit",,"Underground, Visitor parking",,1.0,115.82,Balcony,$684 Monthly,Community Centre,"$1,080,000"
18,"#PH 3102 -90 PARK LAWN RD, Toronto, Ontario, M8Y 0B6",Apartment,Apartment,,"Aluminum siding, Concrete",,Condominium/Strata,Single Family,2+1,2.0,"Park, Public Transit",,"Underground, Visitor parking",,1.0,123.72,Ravine,$905 Monthly,,"$1,050,000"
19,"#2005 -65 ST MARY ST, Toronto, Ontario, M5S 0A6",Apartment,Apartment,,Concrete,,Condominium/Strata,Single Family,2,1.0,"Park, Schools",,"Underground, Visitor parking",,1.0,63.54,Balcony,$557 Monthly,,"$1,050,000"
20,"#110 -630 KINGSTON RD, Toronto, Ontario, M4E 1P9",Apartment,Apartment,,Brick,,Condominium/Strata,Single Family,3,3.0,"Public Transit, Schools",,"Underground, Visitor parking",,1.0,,Ravine,$871 Monthly,,"$999,900"
21,"#1810 -105 GEORGE ST, Toronto, Ontario, M5A 2N4",Apartment,Apartment,,Concrete,,Condominium/Strata,Single Family,1+1,2.0,"Public Transit, Schools",,"Underground, Visitor parking",,1.0,38.37,Balcony,$610 Monthly,,"$999,000"
22,"#524 -10 GUILDWOOD PKWY, Toronto, Ontario, M1E 5B5",Apartment,Apartment,,Concrete,,Condominium/Strata,Single Family,2+1,2.0,"Park, Public Transit",,"Underground, Visitor parking",,1.0,141.64,Balcony,"$1,140 Monthly",Community Centre,"$998,800"
23,"#703 -290 ADELAIDE ST W, Toronto, Ontario, M5V 1P6",Apartment,Apartment,,,,Condominium/Strata,Single Family,2+1,2.0,"Public Transit, Schools",,Underground,,1.0,71.79,,$676 Monthly,,"$990,000"
24,"#2609 -197 YONGE ST, Toronto, Ontario, M5B 1M4",Apartment,Apartment,,Concrete,,Condominium/Strata,Single Family,3,2.0,"Hospital, Public Transit",,Underground,,1.0,103.39,Sloping,$602 Monthly,,"$980,000"
25,"#308 -319 CARLAW AVE, Toronto, Ontario, M4M 0A4",Apartment,Apartment,,Concrete,,Condominium/Strata,Single Family,2,2.0,,,Underground,,1.0,73.78,,$597 Monthly,,"$979,900"
26,"#24 -284 BROCK AVE, Toronto, Ontario, M6K 2M4",Townhouse,Row / Townhouse,,Brick,,Condominium/Strata,Single Family,2+1,2.0,,,Underground,,3.0,82.61,,$678 Monthly,,"$975,000"
27,"#4508 -14 YORK ST, Toronto, Ontario, M5J 0B1",Apartment,Apartment,,Concrete,,Condominium/Strata,Single Family,2,2.0,,,Underground,,1.0,,Balcony,$673 Monthly,,"$939,800"
28,"#509 -233 CARLAW AVE, Toronto, Ontario, M4M 3N6",Apartment,Apartment,,"Brick, Concrete",,Condominium/Strata,Single Family,1+1,1.0,"Hospital, Park, Public Transit",,"Underground, Visitor parking",,1.0,145.44,,$609 Monthly,Community Centre,"$935,000"
29,"#2402 -170 BAYVIEW AVE, Toronto, Ontario, M5A 1H7",Apartment,Apartment,,"Brick, Concrete",,Condominium/Strata,Single Family,2+1,2.0,,,Attached garage,,1.0,87.29999999999998,Balcony,$592 Monthly,,"$929,000"
30,"#602 -2267 LAKE SHORE BLVD W, Toronto, Ontario, M8V 3X2",Apartment,Apartment,,Concrete,,Condominium/Strata,Single Family,2,2.0,,,Underground,,1.0,91.44,,"$1,032 Monthly",,"$924,900"
31,"77 CRIMSON MILLWAY WAY, Toronto, Ontario, M2L 1T8",Townhouse,Row / Townhouse,Finished,Brick,,Condominium/Strata,Single Family,3,3.0,"Hospital, Park, Public Transit, Schools",,"Attached garage, Visitor parking",,2.0,83.56,"Wooded area, Balcony",$833 Monthly,,"$920,000"
32,"#235 -5 ELSIE LANE, Toronto, Ontario, M6P 3N3",Townhouse,Row / Townhouse,,Brick,,Condominium/Strata,Single Family,2+1,2.0,"Hospital, Park, Public Transit, Schools",,Underground,,3.0,77.8,,$371 Monthly,,"$899,900"
33,"#2317 -18 SOMMERSET WAY, Toronto, Ontario, M2N 6X5",Apartment,Apartment,,Brick,,Condominium/Strata,Single Family,2+1,2.0,,,Underground,,1.0,84.76,Balcony,$917 Monthly,,"$889,000"
34,"#2715 -75 QUEENS WHARF RD, Toronto, Ontario, M5V 0J8",Apartment,Apartment,,Concrete,,Condominium/Strata,Single Family,2,2.0,"Park, Public Transit, Schools",,"Underground, Visitor parking",,1.0,66.11,Balcony,$605 Monthly,,"$849,000"
35,"#103 -3800 YONGE ST, Toronto, Ontario, M4N 3P7",Apartment,Apartment,,Concrete,,Condominium/Strata,Single Family,1,2.0,Public Transit,,"Underground, Visitor parking",,1.0,72.01,"Conservation/green belt, Balcony","$1,315 Monthly",,"$849,000"
36,"#3615 -75 QUEENS WHARF RD, Toronto, Ontario, M5V 0J8",Apartment,Apartment,,"Aluminum siding, Concrete",,Condominium/Strata,Single Family,2,2.0,Park,,Underground,,1.0,83.47,Balcony,$605 Monthly,,"$835,000"
37,"#302 -1733 QUEEN ST E, Toronto, Ontario, M4L 6S9",Apartment,Apartment,,Concrete,,Condominium/Strata,Single Family,2+1,2.0,"Park, Public Transit, Schools",,"Underground, Visitor parking",,1.0,81.70000000000002,Balcony,$595 Monthly,,"$835,000"
38,"#1717 -155 YORKVILLE AVE, Toronto, Ontario, M5R 1C4",Apartment,Apartment,,Brick,,Condominium/Strata,Single Family,1+1,1.0,,,Underground,,1.0,62.87,,$679 Monthly,,"$829,900"
39,"#211 -1765 QUEEN ST E, Toronto, Ontario, M4L 3Z2",Apartment,Apartment,,Brick,,Condominium/Strata,Single Family,2,2.0,,,Underground,,1.0,59.44,Balcony,$735 Monthly,,"$819,000"
40,"#1005 -89 DUNFIELD AVE, Toronto, Ontario, M4S 0A4",Apartment,Apartment,,Concrete,,Condominium/Strata,Single Family,2,2.0,"Hospital, Public Transit, Schools",,Underground,,1.0,54.53999999999999,Balcony,$587 Monthly,Community Centre,"$799,900"
41,"#9 -70 BYNG AVE, Toronto, Ontario, M2N 7L9",Townhouse,Row / Townhouse,,Stucco,,Condominium/Strata,Single Family,2,3.0,,,"Underground, Visitor parking",,2.0,32.59,Balcony,$412 Monthly,,"$799,000"
42,"#808 -9 BOGERT AVE, Toronto, Ontario, M2N 0H3",Apartment,Apartment,,Concrete,,Condominium/Strata,Single Family,2+1,2.0,"Park, Public Transit, Schools",,Underground,,1.0,66.81,Balcony,$726 Monthly,,"$799,000"
43,"#1118 -20 MINOWAN MIIKAN LANE, Toronto, Ontario, M6J 0E5",Apartment,Apartment,,Concrete,,Condominium/Strata,Single Family,2,2.0,,,Underground,,1.0,92.85,Balcony,$511 Monthly,,"$799,000"
44,"#804 -208 QUEENS QUAY W, Toronto, Ontario, M5J 2Y5",Apartment,Apartment,,Concrete,,Condominium/Strata,Single Family,1+1,2.0,"Marina, Park, Public Transit",,Underground,,1.0,65.82,Balcony,$574 Monthly,,"$798,900"
45,"#305 -435 RICHMOND ST W, Toronto, Ontario, M5V 1X9",Apartment,Apartment,,Concrete,,Condominium/Strata,Single Family,2,2.0,"Hospital, Park, Public Transit, Schools",,Underground,,1.0,62.13,Balcony,$439 Monthly,,"$798,000"
46,"#501 -159 DUNDAS ST E, Toronto, Ontario, M5B 1E4",Apartment,Apartment,,Concrete,,Condominium/Strata,Single Family,2,2.0,Public Transit,,"Underground, Visitor parking",,1.0,100.44,Balcony,$741 Monthly,,"$795,000"
47,"#706 -2 CLAIRTRELL RD, Toronto, Ontario, M2N 7H5",Apartment,Apartment,,Brick,,Condominium/Strata,Single Family,2+1,2.0,"Hospital, Park, Public Transit, Schools",,"Underground, Visitor parking",,1.0,80.08,Balcony,$883 Monthly,,"$789,000"
48,"#2418 -30 SHORE BREEZE DR, Toronto, Ontario, M8V 1A1",Apartment,Apartment,,Brick,,Condominium/Strata,Single Family,2,2.0,,,,,1.0,,Balcony,$557 Monthly,,"$769,900"
49,"#2208 -20 SHORE BREEZE DR, Toronto, Ontario, M8V 1A1",Apartment,Apartment,,Concrete,,Condominium/Strata,Single Family,1+1,1.0,"Marina, Park, Public Transit",,"Underground, Visitor parking",,1.0,,Balcony,$493 Monthly,,"$769,000"
50,"#33 -22 APPLEWOOD LANE, Toronto, Ontario, M9C 2Z7",Townhouse,Row / Townhouse,,Brick,,Condominium/Strata,Single Family,4,3.0,"Park, Public Transit, Schools",,Underground,,3.0,69.47,Balcony,$396 Monthly,,"$759,000"
51,"#619 -500 DORIS AVE, Toronto, Ontario, M2N 0C1",Apartment,Apartment,,Concrete,,Condominium/Strata,Single Family,2+1,2.0,"Public Transit, Schools",,"Underground, Visitor parking",,1.0,72.56,Balcony,$613 Monthly,Community Centre,"$755,000"
52,"#3106 -21 WIDMER ST, Toronto, Ontario, M5V 0B8",Apartment,Apartment,,Concrete,,Condominium/Strata,Single Family,1+1,2.0,"Hospital, Park, Public Transit",,"Underground, Visitor parking",,1.0,57.36,Balcony,$611 Monthly,,"$749,900"
53,"#314 -415 JARVIS ST, Toronto, Ontario",Townhouse,Row / Townhouse,,Brick,,Condominium/Strata,Single Family,2,1.0,"Park, Public Transit, Schools",,"Underground, Visitor parking",,3.0,,,$557 Monthly,,"$749,900"
54,"#105 -460 ADELAIDE ST E, Toronto, Ontario, M5A 0E7",Apartment,Apartment,,Concrete,,Condominium/Strata,Single Family,2,2.0,"Hospital, Park, Public Transit, Schools",,"Underground, Visitor parking",,1.0,,Balcony,$466 Monthly,Pets not Allowed,"$749,900"
55,"#221 -525 ADELAIDE ST W, Toronto, Ontario, M5V 1T6",Apartment,Apartment,,Concrete,,Condominium/Strata,Single Family,1+1,2.0,"Hospital, Public Transit",,"Underground, Visitor parking",,1.0,41.90000000000001,Balcony,$470 Monthly,,"$749,900"
56,"#2101 -5180 YONGE ST, Toronto, Ontario, M2N 0K5",Apartment,Apartment,,Concrete,,Condominium/Strata,Single Family,2,2.0,"Park, Public Transit, Schools",,Underground,,1.0,,Balcony,$401 Monthly,Community Centre,"$748,000"
57,"#243 -11 APPLEWOOD LANE, Toronto, Ontario, M9C 2Z7",Townhouse,Row / Townhouse,,Brick,,Condominium/Strata,Single Family,3,3.0,"Hospital, Park, Schools",,"Underground, Visitor parking",,3.0,,,$323 Monthly,,"$739,000"
58,"#205 -260 DORIS AVE, Toronto, Ontario, M2N 6X9",Apartment,Apartment,,Concrete,,Condominium/Strata,Single Family,2,2.0,"Park, Public Transit, Schools",,"Underground, Visitor parking",,1.0,67.16000000000001,Balcony,$827 Monthly,Pets not Allowed,"$738,888"
59,"#1010 -225 SACKVILLE ST, Toronto, Ontario, M5A 3H1",Apartment,Apartment,,Concrete,,Condominium/Strata,Single Family,2,2.0,"Park, Public Transit, Schools",,"Underground, Visitor parking",,1.0,,Balcony,$600 Monthly,Community Centre,"$735,000"
60,"#2402 -32 DAVENPORT RD, Toronto, Ontario, M5R 0B5",Apartment,Apartment,,Concrete,,Condominium/Strata,Single Family,1,1.0,Public Transit,,Visitor parking,,1.0,35.59,Balcony,$416 Monthly,,"$729,900"
61,"#1208 -33 CHARLES ST E, Toronto, Ontario, M4Y 0A2",Apartment,Apartment,,Concrete,,Condominium/Strata,Single Family,1+1,1.0,Public Transit,,"Underground, Visitor parking",,1.0,62.9,Balcony,$475 Monthly,,"$725,000"
62,"#1305 -25 BROADWAY AVE, Toronto, Ontario, M4P 1T7",Apartment,Apartment,,Brick,,Condominium/Strata,Single Family,1,1.0,"Park, Public Transit",,Underground,,1.0,52.54,Balcony,$548 Monthly,Community Centre,"$715,000"
63,"#618 -800 KING ST W, Toronto, Ontario, M5V 3M7",Apartment,Apartment,,Brick,,Condominium/Strata,Single Family,1+1,2.0,,,Underground,,2.0,,,$538 Monthly,,"$698,800"
64,"#812 -7 KENASTON  GDNS, Toronto, Ontario, M2K 1G7",Apartment,Apartment,,Concrete,,Condominium/Strata,Single Family,2,2.0,"Hospital, Park, Public Transit, Schools",,Underground,,1.0,47.7,Balcony,$490 Monthly,,"$698,800"
65,"#304 -660 PAPE AVE, Toronto, Ontario, M4K 3S5",Apartment,Apartment,,Brick,,Condominium/Strata,Single Family,1+1,2.0,"Park, Public Transit, Schools",,Underground,,0.0,0.0,Balcony,$839 Monthly,Community Centre,"$689,000"
66,"#1407 -188 DORIS AVE, Toronto, Ontario, M2N 6Z5",Apartment,Apartment,,Brick,,Condominium/Strata,Single Family,2,2.0,"Public Transit, Schools",,"Underground, Visitor parking",,1.0,51.43,Balcony,$583 Monthly,,"$688,000"
67,"#1022 -19 SINGER CRT, Toronto, Ontario, M2K 0B2",Apartment,Apartment,,Concrete,,Condominium/Strata,Single Family,2+1,2.0,,,Underground,,1.0,79.98,Balcony,$827 Monthly,,"$688,000"
68,"#2810 -30 NELSON ST, Toronto, Ontario, M5V 0H5",Apartment,Apartment,,Concrete,,Condominium/Strata,Single Family,1,1.0,,,Underground,,1.0,70.52000000000002,,$322 Monthly,,"$679,000"
69,"#1611 -7 CARLTON ST, Toronto, Ontario, M5B 2M3",Apartment,Apartment,,Brick,,Condominium/Strata,Single Family,2+1,2.0,,,Underground,,1.0,69.46,,$847 Monthly,Pets not Allowed,"$679,000"
70,"#507 -5168 YONGE ST, Toronto, Ontario, M2N 5P6",Apartment,Apartment,,Concrete,,Condominium/Strata,Single Family,1+1,1.0,"Park, Public Transit, Schools",,Underground,,1.0,58.63000000000001,,$399 Monthly,"Community Centre, School Bus","$678,000"
71,"##56 -19 ELDORA AVE, Toronto, Ontario, M2M 0B5",Townhouse,Row / Townhouse,,Brick,,Condominium/Strata,Single Family,2,2.0,"Park, Public Transit, Schools",,Underground,,2.0,59.91,Balcony,$292 Monthly,,"$678,000"
72,"#11 -15 HERON PARK PL, Toronto, Ontario, M1E 0B8",Townhouse,Row / Townhouse,,Brick,,Condominium/Strata,Single Family,3,3.0,"Hospital, Park, Public Transit, Schools",,Underground,,3.0,110.18000000000002,Balcony,$279 Monthly,Community Centre,"$669,800"
73,"#611 -5 NORTHTOWN WAY, Toronto, Ontario, M2N 7A1",Apartment,Apartment,,Concrete,,Condominium/Strata,Single Family,2,2.0,,,Underground,,1.0,77.33000000000001,Balcony,$644 Monthly,,"$669,000"
74,"#2504 -89 MCGILL ST, Toronto, Ontario, M5B 0B1",Apartment,Apartment,,Concrete,,Condominium/Strata,Single Family,1+1,1.0,"Park, Public Transit, Schools",,Visitor parking,,1.0,,Balcony,$413 Monthly,,"$668,800"
75,"#634 -38 GRAND MAGAZINE ST, Toronto, Ontario, M5V 0B1",Apartment,Apartment,,Concrete,,Condominium/Strata,Single Family,1+1,2.0,"Park, Public Transit",,"Underground, Visitor parking",,1.0,,Balcony,$548 Monthly,,"$668,000"
76,"#1008 -70 TEMPERANCE ST, Toronto, Ontario, M5H 4E8",Apartment,Apartment,,Concrete,,Condominium/Strata,Single Family,1+1,1.0,Hospital,,,,1.0,35.52,Balcony,$333 Monthly,,"$649,900"
77,"#421 -783 BATHURST ST, Toronto, Ontario, M5S 1Z5",Apartment,Apartment,,Brick,,Condominium/Strata,Single Family,1+1,1.0,"Hospital, Park, Public Transit, Schools",,"Underground, Visitor parking",,1.0,52.35,Balcony,$474 Monthly,,"$649,900"
78,"#710 -28 BYNG AVE, Toronto, Ontario, M2N 7H4",Apartment,Apartment,,Brick,,Condominium/Strata,Single Family,2,1.0,"Park, Public Transit, Schools",,"Underground, Visitor parking",,1.0,68.46,Balcony,$631 Monthly,"Community Centre, Pets not Allowed","$649,000"
79,"#807 -1486 BATHURST ST, Toronto, Ontario, M5P 3G9",Apartment,Apartment,,"Brick, Concrete",,Condominium/Strata,Single Family,1,1.0,"Park, Public Transit, Schools",,Underground,,1.0,57.34,Balcony,$476 Monthly,,"$649,000"
80,"#115 -20 GOTHIC AVE, Toronto, Ontario, M6P 1T5",Apartment,Apartment,,"Brick, Concrete",,Condominium/Strata,Single Family,1,1.0,"Park, Public Transit, Schools",,Underground,,1.0,46.59,,$496 Monthly,,"$649,000"
81,"#3602 -25 TOWN CENTRE CRT, Toronto, Ontario, M1P 0B4",Apartment,Apartment,,Concrete,,Condominium/Strata,Single Family,2,2.0,,,Underground,,1.0,79.3,Balcony,$565 Monthly,,"$639,900"
82,"5740 YONGE ST, Toronto, Ontario, M2M 3T3",Apartment,Apartment,,Concrete,,Condominium/Strata,Single Family,2,2.0,,,Underground,,1.0,530.69,Balcony,$625 Monthly,,"$639,900"
83,"#1103 -38 DAN LECKIE WAY, Toronto, Ontario, M5V 2V6",,,,,,Condominium/Strata,Single Family,1+1,2.0,,,"Underground, Visitor parking",,1.0,526.19,Balcony,$366 Monthly,,"$639,900"
84,"#639 -3 EVERSON DR, Toronto, Ontario, M2N 7C2",Townhouse,Row / Townhouse,,Brick,,Condominium/Strata,Single Family,2+1,2.0,"Park, Public Transit, Schools",,"Underground, Visitor parking",,3.0,61.12,,$648 Monthly,,"$638,800"
85,"#1208 -25 MAITLAND ST, Toronto, Ontario, M4Y 2W1",Apartment,Apartment,,Concrete,,Condominium/Strata,Single Family,1+1,1.0,,,Underground,,1.0,90.8,,$760 Monthly,,"$634,900"
86,"#825 -99 THE DONWAY AVE, Toronto, Ontario, M3C 0N8",Apartment,Apartment,,Stone,,Condominium/Strata,Single Family,1+1,2.0,"Park, Public Transit, Schools",,"Underground, Visitor parking",,1.0,76.72,,$551 Monthly,,"$629,000"
87,"#1406 -281 MUTUAL ST, Toronto, Ontario, M4Y 3C4",Apartment,Apartment,,Concrete,,Condominium/Strata,Single Family,1,1.0,"Park, Public Transit, Schools",,"Underground, Visitor parking",,1.0,,Balcony,$544 Monthly,,"$625,000"
88,"#914 -1055 BAY ST, Toronto, Ontario, M5S 3A3",Apartment,Apartment,,Brick,,Condominium/Strata,Single Family,1+1,1.0,"Hospital, Public Transit, Schools",,"Underground, Visitor parking",,1.0,54.07,,$479 Monthly,,"$619,900"
89,"#829 -1 SHAW ST, Toronto, Ontario, M6K 0A1",Apartment,Apartment,,"Brick, Concrete",,Condominium/Strata,Single Family,2,2.0,"Hospital, Park, Public Transit, Schools",,Underground,,1.0,80.44999999999997,Balcony,$518 Monthly,,"$619,900"
90,"#520 -20 BLUE JAYS WAY, Toronto, Ontario, M5V 3W6",Apartment,Apartment,,Concrete,,Condominium/Strata,Single Family,1+1,1.0,"Park, Public Transit",,"Underground, Visitor parking",,1.0,53.01000000000001,Balcony,$484 Monthly,,"$619,000"
91,"#220 -8 DOVERCOURT RD, Toronto, Ontario, M6J 0B6",Apartment,Apartment,,Brick,,Condominium/Strata,Single Family,1,1.0,,,Underground,,1.0,38.91,Balcony,$367 Monthly,,"$614,000"
92,"#1702 -181 DUNDAS ST E, Toronto, Ontario, M5A 0N5",Apartment,Apartment,,Concrete,,Condominium/Strata,Single Family,1+1,1.0,,,,,1.0,82.81000000000002,,$378 Monthly,,"$599,999"
93,"66 DUNDALK  DR, Toronto, Ontario, M1P 4T7",Townhouse,Row / Townhouse,Finished,Brick,,Condominium/Strata,Single Family,3,3.0,"Park, Public Transit, Schools",,Attached garage,,2.0,81.15,,$275 Monthly,Pets not Allowed,"$599,900"
94,"#4201 -25 TELEGRAM MEWS, Toronto, Ontario, M5V 3Z9",Apartment,Apartment,,Concrete,,Condominium/Strata,Single Family,1,1.0,"Hospital, Public Transit, Schools",,Visitor parking,,1.0,42.18,Balcony,$315 Monthly,,"$599,900"
95,"#810 -1060 SHEPPARD AVE W, Toronto, Ontario, M3J 0G7",Apartment,Apartment,,Concrete,,Condominium/Strata,Single Family,1+1,1.0,"Public Transit, Schools",,"Underground, Visitor parking",,1.0,,Balcony,$425 Monthly,,"$599,000"
96,"#3101 -88 SHEPPARD  AVE E, Toronto, Ontario, M2N 6Y2",Apartment,Apartment,,Concrete,,Condominium/Strata,Single Family,1,1.0,"Park, Public Transit, Schools",,Underground,,1.0,,Balcony,$369 Monthly,Community Centre,"$599,000"
97,"51 YELLOW BIRCH WAY, Toronto, Ontario, M2H 2S9",Townhouse,Row / Townhouse,,Brick,,Condominium/Strata,Single Family,3,2.0,,,Garage,,2.0,72.91,,$415 Monthly,Pets not Allowed,"$599,000"
98,"#132 -78 ST PATRICK ST, Toronto, Ontario, M5T 3K8",Townhouse,Row / Townhouse,,Stucco,,Condominium/Strata,Single Family,1,1.0,"Hospital, Public Transit, Schools",,Underground,,1.0,66.00999999999999,,$508 Monthly,Community Centre,"$599,000"
99,"#2103 -5229 DUNDAS ST W, Toronto, Ontario, M9B 6L9",Apartment,Apartment,,"Brick, Concrete",,Condominium/Strata,Single Family,2,2.0,,,"Underground, Visitor parking",,1.0,,Balcony,$803 Monthly,,"$599,000"
100,"#302 -1901 YONGE ST, Toronto, Ontario, M4S 1Y6",Apartment,Apartment,,"Brick, Concrete",,Condominium/Strata,Single Family,2,2.0,"Park, Public Transit",,Visitor parking,,1.0,74.77,Balcony,$758 Monthly,,"$598,900"
101,"#PH6 -51 HARRISON GARDEN BLVD, Toronto, Ontario, M2N 7G4",Apartment,Apartment,,"Brick, Concrete",,Condominium/Strata,Single Family,1,1.0,,,Underground,,1.0,43.46,,$534 Monthly,,"$598,888"
102,"#501 -56 FOREST MANOR RD, Toronto, Ontario, M2J 1M6",Apartment,Apartment,,"Brick, Concrete",,Condominium/Strata,Single Family,1+1,2.0,,,"Underground, Visitor parking",,1.0,40.75,Balcony,$372 Monthly,,"$598,000"
103,"#1015 -51 EAST LIBERTY ST, Toronto, Ontario, M6K 3P8",Apartment,Apartment,,Concrete,,Condominium/Strata,Single Family,1,1.0,,,Underground,,1.0,45.93,Balcony,$369 Monthly,,"$589,000"
104,"#35 -2800 MIDLAND AVE, Toronto, Ontario, M1S 3K7",Townhouse,Row / Townhouse,Finished,"Aluminum siding, Brick",,Condominium/Strata,Single Family,3+1,4.0,"Public Transit, Schools",,Attached garage,,2.0,97.88,Ravine,$375 Monthly,,"$588,000"
105,"#1902 -68 SHUTER ST, Toronto, Ontario, M5B 1B4",Apartment,Apartment,,Concrete,,Condominium/Strata,Single Family,1,1.0,Park,,Underground,,1.0,42.5,Balcony,$372 Monthly,,"$585,000"
106,"#615 -75 EMMETT AVE, Toronto, Ontario, M6M 5A7",Apartment,Apartment,,Concrete,,Condominium/Strata,Single Family,3+1,2.0,"Park, Public Transit",,Underground,,1.0,96.08,Balcony,$984 Monthly,,"$585,000"
107,"#524 -120 DALLIMORE CIRC, Toronto, Ontario, M3C 4J1",Apartment,Apartment,,Brick,,Condominium/Strata,Single Family,2,2.0,"Park, Public Transit",,Underground,,1.0,58.99,Conservation/green belt,$673 Monthly,,"$575,000"
108,"#502 -830 LAWRENCE AVE W, Toronto, Ontario, M6A 0B6",Apartment,Apartment,,Brick,,Condominium/Strata,Single Family,1+1,1.0,"Hospital, Park, Public Transit, Schools",,Underground,,1.0,56.53,Balcony,$439 Monthly,School Bus,"$574,900"
109,"#213 -608 RICHMOND ST W, Toronto, Ontario, M5V 1Y9",,,,Brick,,Condominium/Strata,Single Family,1,1.0,"Public Transit, Schools",,"Underground, Visitor parking",,3.0,70.98,,$408 Monthly,,"$574,900"
