,Address,Style,Building Type,Basement Development,Exterior Finish,Fireplace,OwnershipType,Property Type,Bedrooms,Bathrooms,Amenities Nearby,Lot Size,Parking Type,No. of Parking Spaces,Storeys,Floor Area (m^2),Features,Condo Fees,Community Features,Price
624,"#307 -115 OMNI DR, Toronto, Ontario, M1P 5B4",Apartment,Apartment,,"Brick, Concrete",,Condominium/Strata,Single Family,2,2.0,"Public Transit, Schools",,"Underground, Visitor parking",,1.0,60.7,,$611 Monthly,Community Centre,"$549,000"
625,"#417 -60 COLBORNE ST, Toronto, Ontario, M5E 1E3",Apartment,Apartment,,Brick,,Condominium/Strata,Single Family,1+1,1.0,"Hospital, Park, Public Transit",,,,1.0,,,$541 Monthly,,"$549,000"
626,"#815 -4K SPADINA AVE, Toronto, Ontario",Apartment,Apartment,,Concrete,,Condominium/Strata,Single Family,1,1.0,Public Transit,,"Underground, Visitor parking",,1.0,,Balcony,$421 Monthly,,"$549,000"
627,"#1318 -955 BAY ST, Toronto, Ontario, M5S 2A2",Apartment,Apartment,,Concrete,,Condominium/Strata,Single Family,,1.0,"Hospital, Park, Public Transit, Schools",,Underground,,1.0,26.1,Balcony,$282 Monthly,,"$539,000"
628,"#1411 -101 ERSKINE AVE, Toronto, Ontario, M4P 0C5",Apartment,Apartment,,Concrete,,Condominium/Strata,Single Family,1,1.0,"Park, Public Transit, Schools",,"Underground, Visitor parking",,1.0,23.96,Balcony,$294 Monthly,,"$535,000"
629,"1411 101 Erskine Avenue, Toronto, Ontario, M4P 0C5",Apartment,Apartment,,Concrete,,Condominium,Single Family,1,1.0,,x,Underground,,1.0,,"Balcony, Carpet Free, No Driveway, Guest Suite",$294 Monthly,,"$535,000"
630,"#1107 -1080 BAY ST, Toronto, Ontario, M5S 0A5",Apartment,Apartment,,Concrete,,Condominium/Strata,Single Family,,1.0,,,Underground,,1.0,23.9,Balcony,$227 Monthly,,"$529,000"
631,"#601 -260 SCARLETT RD, Toronto, Ontario, M6N 4X6",Apartment,Apartment,,"Brick, Concrete",,Condominium/Strata,Single Family,2,2.0,"Park, Public Transit",,"Underground, Visitor parking",,1.0,,"Conservation/green belt, Balcony",$805 Monthly,,"$528,000"
632,"#1308 -5740 YONGE ST, Toronto, Ontario, M2M 0B1",Apartment,Apartment,,Concrete,,Condominium/Strata,Single Family,1,1.0,"Park, Public Transit, Schools",,"Underground, Visitor parking",,1.0,48.42,Balcony,$489 Monthly,Community Centre,"$518,800"
633,"#1105 -9 VALHALLA INN DR, Toronto, Ontario, M9B 0B2",Apartment,Apartment,,Brick,,Condominium/Strata,Single Family,1+1,1.0,"Public Transit, Schools",,"Underground, Visitor parking",,1.0,43.87000000000001,,$395 Monthly,,"$515,000"
634,"#1104 -18 GRAYDON HALL DR, Toronto, Ontario, M3A 0A4",Apartment,Apartment,,Concrete,,Condominium/Strata,Single Family,1+1,1.0,"Park, Public Transit",,"Underground, Visitor parking",,1.0,54.3,"Conservation/green belt, Balcony",$433 Monthly,,"$499,900"
635,"#806 -83 BOROUGH DR, Toronto, Ontario, M1P 5E4",Apartment,Apartment,,Concrete,,Condominium/Strata,Single Family,2+1,2.0,,,Underground,,1.0,97.82999999999998,Balcony,$583 Monthly,,"$499,900"
636,"#902 -99 THE DONWAY W RD W, Toronto, Ontario, M3C 0N8",Apartment,Apartment,,Aluminum siding,,Condominium/Strata,Single Family,1,1.0,,,Underground,,1.0,32.64,Balcony,$453 Monthly,,"$499,900"
637,"#1108 -100 HARBOUR ST, Toronto, Ontario, M5J 1B7",Apartment,Apartment,,Concrete,,Condominium/Strata,Single Family,,1.0,"Hospital, Park, Public Transit, Schools",,Underground,,1.0,48.0,Balcony,$293 Monthly,Community Centre,"$499,900"
638,"#1417 -160 FLEMINGTON RD, Toronto, Ontario, M6A 0A9",Apartment,Apartment,,Concrete,,Condominium/Strata,Single Family,1,1.0,"Hospital, Park, Public Transit, Schools",,"Underground, Visitor parking",,1.0,79.10000000000002,Balcony,$374 Monthly,Community Centre,"$499,000"
639,"#77 -1357 NEILSON DR, Toronto, Ontario, M1B 4Y9",Apartment,Apartment,,Brick,,Condominium/Strata,Single Family,2,1.0,,,Underground,,,,Balcony,$292 Monthly,Pets not Allowed,"$499,000"
640,"#204 -50 FOREST MANOR RD, Toronto, Ontario, M2J 1M6",Apartment,Apartment,,Concrete,,Condominium/Strata,Single Family,1+1,1.0,"Hospital, Park, Public Transit, Schools",,"Underground, Visitor parking",,1.0,,,$442 Monthly,Community Centre,"$499,000"
641,"#422 -10 MENDELSSOHN ST, Toronto, Ontario, M1L 0G7",Apartment,Apartment,,Brick,,Condominium/Strata,Single Family,2,2.0,"Park, Public Transit, Schools",,"Underground, Visitor parking",,1.0,459.21,Balcony,$459 Monthly,Community Centre,"$499,000"
642,"#1711 -18 HARRISON GARDEN BLVD, Toronto, Ontario, M2N 7J7",Apartment,Apartment,,Stucco,,Condominium/Strata,Single Family,1,1.0,"Park, Public Transit",,Underground,,1.0,55.15000000000001,Balcony,$427 Monthly,,"$499,000"
643,"#604 -205 FREDERICK ST, Toronto, Ontario, M5A 4V3",Apartment,Apartment,,Brick,,Condominium/Strata,Single Family,1+1,1.0,"Park, Public Transit",,Underground,,1.0,102.0,Balcony,$601 Monthly,,"$499,000"
644,"#109 -225 SHERWAY GARDENS RD, Toronto, Ontario, M9C 0A3",Apartment,Apartment,,Concrete,,Condominium/Strata,Single Family,1+1,2.0,"Hospital, Park, Public Transit, Schools",,"Underground, Visitor parking",,1.0,,,$740 Monthly,,"$499,000"
